Sample in Buffer,Sample in Window,TRIGGER,wiener_normal_out_reg[32:0],pzc_out_reg[28:0],event_bt_reg[12:0],adc_out_reg[11:0],occupancy_reg[6:0],pedestal_in_reg[12:0],wiener_pzc_out_reg[32:0],pedestal_out_reg[12:0],bt_mask_out_reg
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,UNSIGNED,HEX
0,0,0,0,-877,0,318,121,500,5030867,479,0
1,1,0,0,-1948,0,316,121,500,-4596164,479,0
2,2,0,0,1529,0,324,121,500,1399098,479,0
3,3,0,0,-901,0,319,121,500,106294,479,0
4,4,0,0,-3336,0,314,121,500,-297438,479,0
5,5,0,0,-2591,55,316,121,500,-987223,479,1
6,6,0,0,5436,245,334,121,500,917372,479,1
7,7,0,0,10296,27,345,121,500,-285468,479,1
8,8,0,0,44742,35,421,121,500,-1160962,479,1
9,9,0,0,112024,144,569,121,500,-943985,479,1
10,10,0,0,29759,35,388,121,500,3029618,479,1
11,11,0,0,25118,238,378,121,500,1116187,479,1
12,12,0,0,71427,210,480,121,500,11848564,479,1
13,13,0,0,47768,79,428,121,500,47851681,479,1
14,14,0,0,127797,1,604,121,500,3994126,479,1
15,15,0,0,121552,39,590,121,500,7558447,479,1
16,16,0,0,55688,42,445,121,500,29822555,479,1
17,17,0,0,5149,125,334,121,500,7537941,479,1
18,18,0,0,20929,362,369,121,500,48559433,479,1
19,19,0,0,36744,190,404,121,500,43533708,479,1
20,20,0,0,85354,90,511,121,500,18842640,479,1
21,21,0,0,187761,779,736,121,500,-352697,479,1
22,22,0,0,116128,38,578,121,500,9733190,479,1
23,23,0,0,106672,275,557,121,500,10153503,479,1
24,24,0,0,360640,657,1115,121,500,24012780,479,1
25,25,0,0,95556,73,531,121,500,76935670,479,1
26,26,0,0,172958,332,701,121,500,33388840,479,1
27,27,0,0,324695,8,1034,121,500,18133043,479,1
28,28,0,0,113675,39,569,121,500,160138538,479,1
29,29,0,0,158810,32,668,121,500,4205028,479,1
30,30,0,0,31144,500,387,121,500,57996191,479,1
31,31,0,0,26957,30,378,121,500,132559945,479,1
32,32,0,0,49606,17,428,121,500,17659794,479,1
33,33,0,0,236560,146,839,121,500,71003559,479,1
34,34,0,0,58105,62,446,121,500,3955118,479,1
35,35,0,0,12117,95,345,121,500,10414040,479,1
36,36,0,0,72498,192,478,121,500,3344184,479,1
37,37,0,0,48837,317,426,121,500,104618020,479,1
38,38,0,0,58339,176,447,121,500,7869675,479,1
39,39,0,0,112907,110,567,121,500,1043356,479,1
40,40,0,0,172145,44,697,121,500,31929352,479,1
41,41,0,0,117308,0,576,121,500,14305270,479,0
42,42,0,0,62805,0,456,121,500,17373585,479,0
43,43,0,0,26837,0,377,121,500,36652610,479,0
44,44,0,0,5350,0,330,121,500,64229563,479,0
45,45,0,0,2471,0,324,121,500,38488288,479,0
46,46,0,0,951,0,321,121,500,21545004,479,0
47,47,0,0,8983,0,339,121,500,9604452,479,0
48,48,0,0,198,61,320,121,500,1567054,479,1
49,49,0,0,494,276,321,121,500,1255256,479,1
50,50,0,0,11256,481,345,121,500,-343399,479,1
51,51,0,0,44792,9,419,121,500,4329907,479,1
52,52,0,0,167127,494,688,121,500,-247919,479,1
53,53,0,0,235131,80,837,121,500,1205783,479,1
54,54,0,0,62134,235,456,121,500,4110156,479,1
55,55,0,0,224546,8,813,121,500,7693061,479,1
56,56,0,0,92930,386,523,121,500,59295085,479,1
57,57,0,0,109354,213,559,121,500,94130102,479,1
58,58,0,0,44824,559,417,121,500,-3571423,479,1
59,59,0,0,191272,66,739,121,500,99606063,479,1
60,60,0,0,169692,21,691,121,500,19440700,479,1
61,61,0,0,273644,57,919,121,500,47162198,479,1
62,62,0,0,76614,87,485,121,500,1605474,479,1
63,63,0,0,15650,622,351,121,500,76683678,479,1
64,64,0,0,39182,59,403,121,500,43554192,479,1
65,65,0,0,92796,58,521,121,500,113852314,479,1
66,66,0,0,293038,329,961,121,500,16376178,479,1
67,67,0,0,71935,88,474,121,500,6958110,479,1
68,68,0,0,49180,36,424,121,500,12376956,479,1
69,69,0,0,154685,709,656,121,500,18317400,479,1
70,70,0,0,66137,119,461,121,500,127684727,479,1
71,71,0,0,67029,98,463,121,500,7806380,479,1
72,72,0,0,337283,251,1057,121,500,12314959,479,1
73,73,0,0,118096,442,574,121,500,68893722,479,1
74,74,0,0,66321,79,460,121,500,15062837,479,1
75,75,0,0,146837,105,637,121,500,3659572,479,1
76,76,0,0,225710,364,810,121,500,147767585,479,1
77,77,0,0,77256,8,483,121,500,25530574,479,1
78,78,0,0,72255,155,472,121,500,18209844,479,1
79,79,0,0,176898,726,702,121,500,49504800,479,1
80,80,0,0,51541,364,426,121,500,91549697,479,1
81,81,0,0,124743,201,587,121,500,15392800,479,1
82,82,0,0,374191,180,1135,121,500,20068672,479,1
83,83,0,0,231522,286,820,121,500,79082781,479,1
84,84,0,0,125848,0,587,121,500,3339594,479,0
85,85,0,0,110941,0,554,121,500,30461701,479,0
86,86,0,0,146506,0,632,121,500,150643251,479,0
87,87,0,0,27449,0,370,121,500,71953159,479,0
88,88,0,0,495,0,311,121,500,39857604,479,0
89,89,0,0,-1948,0,306,121,500,35519088,479,0
90,90,0,0,2429,0,316,121,500,60609471,479,0
91,91,0,0,4996,0,322,121,500,2948138,479,0
92,92,0,0,744,0,313,121,500,1447506,479,0
93,93,0,0,9678,0,333,121,500,-519046,479,0
94,94,0,0,-1388,0,309,121,500,1032355,479,0
95,95,0,0,2082,0,317,121,500,2041750,479,0
